Subject;Lang.;Type;Item;Trial;Score;RT (gammal);RT
1;L1;kontroll;audio/n7.wav;1;0;4.611920007;2.611920007
1;L1;kontroll;audio/n20.wav;2;1;3.059836147;1.059836147
1;L1;visuospatial;audio/n22.wav;3;1;2.575402363;0.575402363
1;L1;kontroll;audio/n17.wav;4;1;2.209312333;0.209312333
1;L1;visuospatial;audio/n24.wav;5;1;2.309044608;0.309044608
1;L1;visuell;audio/n10.wav;6;1;2.256912625;0.256912625
1;L1;visuell;audio/n9.wav;7;1;2.040895211;0.040895211
1;L1;kontroll;audio/n5.wav;8;0;2.841625675;0.841625675
1;L1;visuell;audio/n13.wav;9;1;2.175445785;0.175445785
1;L1;visuospatial;audio/n4.wav;10;1;2.258264688;0.258264688
1;L1;kontroll;audio/n18.wav;11;1;2.442251253;0.442251253
1;L1;visuospatial;audio/n3.wav;12;1;2.256975807;0.256975807
1;L1;visuell;audio/n16.wav;13;1;1.656218657;-0.343781343
1;L1;visuell;audio/n15.wav;14;1;1.590345393;-0.409654607
1;L1;visuospatial;audio/n21.wav;15;0;4.894985522;2.894985522
1;L1;visuell;audio/n12.wav;16;1;1.856735743;-0.143264257
1;L1;visuell;audio/n11.wav;17;1;3.594529803;1.594529803
1;L1;kontroll;audio/n8.wav;18;1;1.841761669;-0.158238331
1;L1;kontroll;audio/n6.wav;19;0;2.510326589;0.510326589
1;L1;visuospatial;audio/n2.wav;20;1;1.974375653;-0.025624347
1;L1;visuospatial;audio/n1.wav;21;1;1.873460147;-0.126539853
1;L1;kontroll;audio/n19.wav;22;1;1.77155056;-0.22844944
1;L1;visuospatial;audio/n23.wav;23;1;1.906192702;-0.093807298
1;L1;visuell;audio/n14.wav;24;1;2.357627546;0.357627546
1;L2;kontroll;audio/r15.wav;1;1;3.377922255;1.377922255
1;L2;visuell;audio/r3.wav;2;1;2.825553679;0.825553679
1;L2;visuell;audio/r1.wav;3;1;6.014926616;4.014926616
1;L2;kontroll;audio/r10.wav;4;1;2.307703945;0.307703945
1;L2;visuospatial;audio/r20.wav;5;1;2.52428501;0.52428501
1;L2;visuospatial;audio/r24.wav;6;1;3.142122653;1.142122653
1;L2;visuospatial;audio/r21.wav;7;0;2.041729419;0.041729419
1;L2;visuospatial;audio/r19.wav;8;0;5.064222309;3.064222309
1;L2;kontroll;audio/r9.wav;9;1;5.031539437;3.031539437
1;L2;kontroll;audio/r13.wav;10;1;2.474892042;0.474892042
1;L2;visuell;audio/r8.wav;11;1;2.241226955;0.241226955
1;L2;kontroll;audio/r11.wav;12;1;2.474625227;0.474625227
1;L2;kontroll;audio/r14.wav;13;1;2.072912217;0.072912217
1;L2;visuell;audio/r6.wav;14;1;3.392935859;1.392935859
1;L2;visuell;audio/r5.wav;15;1;2.641166086;0.641166086
1;L2;visuell;audio/r4.wav;16;1;2.457795063;0.457795063
1;L2;kontroll;audio/r16.wav;17;1;2.892410903;0.892410903
1;L2;kontroll;audio/r12.wav;18;1;1.9587833;-0.0412167
1;L2;visuospatial;audio/r18.wav;19;1;4.361869663;2.361869663
1;L2;visuospatial;audio/r17.wav;20;1;2.392322478;0.392322478
1;L2;visuell;audio/r2.wav;21;1;2.391082199;0.391082199
1;L2;visuell;audio/r7.wav;22;1;6.750111586;4.750111586
1;L2;visuospatial;audio/r23.wav;23;0;5.749061573;3.749061573
1;L2;visuospatial;audio/r22.wav;24;1;2.291722051;0.291722051
2;L1;visuell;audio/n10.wav;1;0;3.694288624;3.694288624
2;L1;kontroll;audio/n8.wav;2;0;5.465338191;5.465338191
2;L1;visuell;audio/n14.wav;3;1;4.1618075;4.1618075
2;L1;kontroll;audio/n18.wav;4;1;3.94502417;3.94502417
2;L1;kontroll;audio/n5.wav;5;1;2.242452561;2.242452561
2;L1;visuell;audio/n16.wav;6;1;2.208433622;2.208433622
2;L1;kontroll;audio/n7.wav;7;1;7.735385221;7.735385221
2;L1;visuospatial;audio/n22.wav;8;1;3.343762275;3.343762275
2;L1;kontroll;audio/n20.wav;9;1;1.505006914;1.505006914
2;L1;visuell;audio/n11.wav;10;1;4.094531643;4.094531643
2;L1;kontroll;audio/n19.wav;11;1;2.375987722;2.375987722
2;L1;visuospatial;audio/n24.wav;12;1;1.908061686;1.908061686
2;L1;visuell;audio/n15.wav;13;1;4.194926044;4.194926044
2;L1;visuospatial;audio/n4.wav;14;1;4.779883946;4.779883946
2;L1;kontroll;audio/n6.wav;15;1;5.547358199;5.547358199
2;L1;visuospatial;audio/n23.wav;16;1;2.476355861;2.476355861
2;L1;visuell;audio/n9.wav;17;1;3.311707931;3.311707931
2;L1;visuospatial;audio/n2.wav;18;0;4.830474566;4.830474566
2;L1;kontroll;audio/n17.wav;19;1;2.723371286;2.723371286
2;L1;visuell;audio/n12.wav;20;1;4.980909958;4.980909958
2;L1;visuospatial;audio/n1.wav;21;0;2.656357971;2.656357971
2;L1;visuospatial;audio/n21.wav;22;1;2.275022672;2.275022672
2;L1;visuospatial;audio/n3.wav;23;1;3.07666739;3.07666739
2;L1;visuell;audio/n13.wav;24;0;3.159789953;3.159789953
2;L2;visuell;audio/r6.wav;1;0;3.343950295;3.343950295
2;L2;visuospatial;audio/r22.wav;2;0;14.31804472;14.31804472
2;L2;visuospatial;audio/r18.wav;3;1;2.291408015;2.291408015
2;L2;kontroll;audio/r11.wav;4;1;2.174631956;2.174631956
2;L2;visuospatial;audio/r20.wav;5;0;1.606895938;1.606895938
2;L2;visuospatial;audio/r24.wav;6;1;2.391611747;2.391611747
2;L2;kontroll;audio/r16.wav;7;1;1.673678573;1.673678573
2;L2;visuell;audio/r5.wav;8;0;1.841324549;1.841324549
2;L2;kontroll;audio/r15.wav;9;0;0.955202185;0.955202185
2;L2;kontroll;audio/r12.wav;10;1;3.009062528;3.009062528
2;L2;visuell;audio/r4.wav;11;1;0.887174177;0.887174177
2;L2;visuell;audio/r3.wav;12;1;0.639362712;0.639362712
2;L2;kontroll;audio/r13.wav;13;1;0.972868748;0.972868748
2;L2;kontroll;audio/r9.wav;14;1;1.288810082;1.288810082
2;L2;visuospatial;audio/r19.wav;15;1;1.138020686;1.138020686
2;L2;visuell;audio/r8.wav;16;0;0.504708467;0.504708467
2;L2;kontroll;audio/r10.wav;17;1;0.670492598;0.670492598
2;L2;visuell;audio/r2.wav;18;1;1.054509375;1.054509375
2;L2;visuospatial;audio/r21.wav;19;1;2.206965297;2.206965297
2;L2;visuospatial;audio/r23.wav;20;1;2.975746948;2.975746948
2;L2;kontroll;audio/r14.wav;21;1;0.571641178;0.571641178
2;L2;visuell;audio/r7.wav;22;1;1.105583846;1.105583846
2;L2;visuospatial;audio/r17.wav;23;1;3.394900689;3.394900689
