"Subject","Language","Type","Item","Trial","Score","RT"
1,"L1","kontroll","audio/n7.wav",1,0,2.611920007
1,"L1","kontroll","audio/n20.wav",2,1,1.059836147
1,"L1","visuospatial","audio/n22.wav",3,1,0.575402363
1,"L1","kontroll","audio/n17.wav",4,1,0.209312333
1,"L1","visuospatial","audio/n24.wav",5,1,0.309044608
1,"L1","visuell","audio/n10.wav",6,1,0.256912625
1,"L1","visuell","audio/n9.wav",7,1,0.040895211
1,"L1","kontroll","audio/n5.wav",8,0,0.841625675
1,"L1","visuell","audio/n13.wav",9,1,0.175445785
1,"L1","visuospatial","audio/n4.wav",10,1,0.258264688
1,"L1","kontroll","audio/n18.wav",11,1,0.442251253
1,"L1","visuospatial","audio/n3.wav",12,1,0.256975807
1,"L1","visuell","audio/n16.wav",13,1,-0.343781343
1,"L1","visuell","audio/n15.wav",14,1,-0.409654607
1,"L1","visuospatial","audio/n21.wav",15,0,2.894985522
1,"L1","visuell","audio/n12.wav",16,1,-0.143264257
1,"L1","visuell","audio/n11.wav",17,1,1.594529803
1,"L1","kontroll","audio/n8.wav",18,1,-0.158238331
1,"L1","kontroll","audio/n6.wav",19,0,0.510326589
1,"L1","visuospatial","audio/n2.wav",20,1,-0.025624347
1,"L1","visuospatial","audio/n1.wav",21,1,-0.126539853
1,"L1","kontroll","audio/n19.wav",22,1,-0.22844944
1,"L1","visuospatial","audio/n23.wav",23,1,-0.093807298
1,"L1","visuell","audio/n14.wav",24,1,0.357627546
1,"L2","kontroll","audio/r15.wav",1,1,1.377922255
1,"L2","visuell","audio/r3.wav",2,1,0.825553679
1,"L2","visuell","audio/r1.wav",3,1,4.014926616
1,"L2","kontroll","audio/r10.wav",4,1,0.307703945
1,"L2","visuospatial","audio/r20.wav",5,1,0.52428501
1,"L2","visuospatial","audio/r24.wav",6,1,1.142122653
1,"L2","visuospatial","audio/r21.wav",7,0,0.041729419
1,"L2","visuospatial","audio/r19.wav",8,0,3.064222309
1,"L2","kontroll","audio/r9.wav",9,1,3.031539437
1,"L2","kontroll","audio/r13.wav",10,1,0.474892042
